fldName,fldDiscoveryYear,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldNpdidField
SNØHVIT,1984,0,1.4,0.048,0.17,1.7,0,1.2,0.037,0.13,1.4,2053062
STATFJORD,1974,3.6,0.51,0.14,0.01,4.4,0.035,0.062,0.025,0.0038,0.15,43658
STATFJORD NORD,1977,0.27,0.014,0.0069,0,0.29,0.033,-0.00063,0.0019,0,0.036,43679
STATFJORD ØST,1976,0.24,0.026,0.013,0,0.29,0.005,0,0.0044,0,0.013,43672
SVALIN,1992,0.048,0,0,0,0.048,0.03,0,0,0,0.03,22507971
SYGNA,1996,0.07,0,0,0,0.07,0.0069,0,0,0,0.0069,104718
TAMBAR,1983,0.064,0.014,0.0031,0,0.084,0.0031,0.00063,0.0019,0,0.0074,1028599
TAMBAR ØST,2007,0.0019,0,0,0,0.0019,0,0,0,0,0,4999528
TOMMELITEN GAMMA,1978,0.025,0.061,0.0038,0,0.093,0,0,0,0,0,43444
TOR,1970,0.15,0.069,0.0075,0,0.24,0,0,0,0,0,43520
TORDIS,1987,0.41,0.03,0.011,0,0.46,0.048,0.0031,0.0013,0,0.054,43725
TROLL,1979,1.8,9,0.16,0.0094,11,0.2,5.6,0.1,-0.018,6,46437
TRYM,1990,0.01,0.025,0,0,0.035,0.0025,0.0094,0,0,0.012,18081500
TUNE,1995,0.021,0.12,0.0013,0,0.14,-0.0013,-0.0063,0,0,-0.0075,853376
TYRIHANS,1983,0.22,0.27,0.049,0,0.58,0.062,0.24,0.044,0,0.39,3960848
ULA,1976,0.52,0.025,0.02,0,0.59,0.058,0,0.0031,0,0.064,43800
URD,2000,0.047,0.0025,0.00063,0,0.051,0.01,0.00063,0,0,0.011,2834734
VALE,1991,0.016,0.016,0,0,0.031,0.0031,0.0044,0,0,0.0075,1578893
VALEMON,1985,0.03,0.15,0.0075,0,0.2,0.028,0.14,0.0075,0,0.19,20460969
VALHALL,1975,0.91,0.17,0.031,0,1.1,0.2,0.033,0.0094,0,0.26,43548
VARG,1984,0.1,0.0019,0,0,0.1,0.00063,0.00063,0,0,0.0013,43451
VEGA,1981,0.052,0.11,0.039,0,0.23,0.021,0.064,0.029,-0.0025,0.14,4467595
VESLEFRIKK,1981,0.34,0.031,0.011,0,0.4,0.0063,0.011,0.0013,0,0.02,43618
VEST EKOFISK,1970,0.077,0.16,0.0088,0,0.26,0,0,0,0,0,43513
VIGDIS,1986,0.44,0.012,0.0082,0,0.46,0.072,0,0.0019,0,0.075,43732
VILJE,2003,0.084,0,0,0,0.084,0.018,-0.0031,0,0,0.014,3392471
VISUND,1986,0.23,0.35,0.043,0,0.66,0.057,0.29,0.038,0,0.42,43745
VISUND SØR,2008,0.017,0.047,0.0063,0,0.076,0.0063,0.035,0.005,0,0.05,20461008
VOLUND,1994,0.079,0.0075,0,0,0.086,0.026,0.0025,0,0,0.029,4380167
VOLVE,1993,0.065,0.0063,0.0013,0.00063,0.074,0.0031,0,0,0,0.0031,3420717
YME,1987,0.05,0,0,0,0.05,0,0,0,0,0,43807
YTTERGRYTA,2007,0.0019,0.014,0.0025,0,0.021,0,0,0,0,0,4973114
ØST FRIGG,1973,0,0.058,0,0.00063,0.058,0,0,0,0,0,43576
ÅSGARD,1981,0.65,1.3,0.24,0.11,2.5,0.08,0.36,0.067,0,0.57,43765
AASTA HANSTEEN,1997,0,0.29,0,0.0057,0.29,0,0.29,0,0.0057,0.29,23395946
