fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany
TAMBAR,Aker BP ASA,Producing, 1/3-3,24.03.1983,North sea,PRODUCTION LICENSE,065,Tananger,21316,1028599,87,28544099
TAMBAR ØST,Aker BP ASA,Producing, 1/3-K-5,01.07.2007,North sea,BUSINESS ARRANGEMENT AREA,TAMBAR ØST UNIT,,4999504,4999528,5485,28544099
TOMMELITEN GAMMA,ConocoPhillips Skandinavia AS,Shut down, 1/9-4,12.01.1978,North sea,BUSINESS ARRANGEMENT AREA,TOMMELITEN UNIT,,41411,43444,247,2410696
TOR,ConocoPhillips Skandinavia AS,Shut down, 2/5-1,22.11.1970,North sea,BUSINESS ARRANGEMENT AREA,TOR UNIT,Tananger,45891,43520,178,2410696
TORDIS,Statoil Petroleum AS,Producing, 34/7-12,17.12.1987,North sea,PRODUCTION LICENSE,089,Florø,21516,43725,1187,17237817
TRESTAKK,Statoil Petroleum AS,Approved for production, 6406/3-2,22.11.1986,Norwegian sea,PRODUCTION LICENSE,091,Kristiansund,21532,29396445,863,17237817
TROLL,Statoil Petroleum AS,Producing, 31/2-1,09.11.1979,North sea,BUSINESS ARRANGEMENT AREA,TROLL UNIT,Mongstad,41105,46437,398,17237817
TROLL BRENT B,Statoil Petroleum AS,Approved for production, 31/2-N-11 H,24.08.2005,North sea,PRODUCTION LICENSE,054,Mongstad,21228,29398828,5102,17237817
TRYM,Faroe Petroleum Norge AS,Producing, 3/7-4,23.01.1990,North sea,PRODUCTION LICENSE,147,,21988,18081500,1467,4062883
TUNE,Statoil Petroleum AS,Producing, 30/8-1 S,01.03.1995,North sea,PRODUCTION LICENSE,190,Mongstad,22332,853376,2430,17237817
TYRIHANS,Statoil Petroleum AS,Producing, 6407/1-2,15.05.1983,Norwegian sea,BUSINESS ARRANGEMENT AREA,TYRIHANS UNIT,Kristiansund,3488806,3960848,61,17237817
ULA,Aker BP ASA,Producing, 7/12-2,23.09.1976,North sea,PRODUCTION LICENSE,019,Tananger,20916,43800,295,28544099
URD,Statoil Petroleum AS,Producing, 6608/10-6,14.05.2000,Norwegian sea,PRODUCTION LICENSE,128,Sandnessjøen,21836,2834734,3260,17237817
UTGARD,Statoil Petroleum AS,Approved for production, 15/8-1,07.01.1982,North sea,BUSINESS ARRANGEMENT AREA,UTGARD UNIT,,28975129,28975098,321,17237817
VALE,Centrica Resources (Norge) AS,Producing, 25/4-6 S,24.08.1991,North sea,PRODUCTION LICENSE,036,,21076,1578893,1703,4238233
VALEMON,Statoil Petroleum AS,Producing, 34/10-23,13.10.1985,North sea,BUSINESS ARRANGEMENT AREA,VALEMON UNIT,Mongstad,18403644,20460969,476,17237817
VALHALL,Aker BP ASA,Producing, 2/8-6,30.06.1975,North sea,BUSINESS ARRANGEMENT AREA,VALHALL UNIT,Tananger,41657,43548,276,28544099
VARG,Repsol Norge AS,Shut down, 15/12-4,31.10.1984,North sea,PRODUCTION LICENSE,038,Tananger,21092,43451,438,27052812
VEGA,Wintershall Norge AS,Producing, 35/8-1,24.01.1981,North sea,BUSINESS ARRANGEMENT AREA,VEGA UNIT,Florø,20459640,4467595,205,21666830
VESLEFRIKK,Statoil Petroleum AS,Producing, 30/3-2 R,16.02.1981,North sea,PRODUCTION LICENSE,052,Mongstad,21212,43618,508,17237817
VEST EKOFISK,ConocoPhillips Skandinavia AS,Shut down, 2/4-6,10.12.1970,North sea,PRODUCTION LICENSE,018,,20900,43513,181,2410696
VIGDIS,Statoil Petroleum AS,Producing, 34/7-8,11.04.1986,North sea,PRODUCTION LICENSE,089,Florø,21516,43732,878,17237817
VILJE,Aker BP ASA,Producing, 25/4-9 S,29.09.2003,North sea,PRODUCTION LICENSE,036 D,,5081703,3392471,4278,28544099
VISUND,Statoil Petroleum AS,Producing, 34/8-1,08.03.1986,North sea,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,Florø,40726,43745,854,17237817
VISUND SØR,Statoil Petroleum AS,Producing, 34/8-14 S,21.10.2008,North sea,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,Mongstad,40726,20461008,5943,17237817
VOLUND,Aker BP ASA,Producing, 24/9-5,26.01.1994,North sea,PRODUCTION LICENSE,150,,22012,4380167,2244,28544099
VOLVE,Statoil Petroleum AS,Shut down, 15/9-19 SR,29.04.1993,North sea,PRODUCTION LICENSE,046 BS,Dusavik,4227659,3420717,2105,17237817
YME,Repsol Norge AS,Shut down, 9/2-1,28.04.1987,North sea,PRODUCTION LICENSE,316,,2786469,43807,1038,27052812
YTTERGRYTA,Statoil Petroleum AS,Shut down, 6507/11-8,03.07.2007,Norwegian sea,PRODUCTION LICENSE,062,,21292,4973114,5562,17237817
ØST FRIGG,Aker BP ASA,Shut down, 25/2-1,21.09.1973,North sea,PRODUCTION LICENSE,873,,28973585,43576,353,28544099
ÅSGARD,Statoil Petroleum AS,Producing, 6507/11-1,10.12.1981,Norwegian sea,BUSINESS ARRANGEMENT AREA,ÅSGARD UNIT,Kristiansund,40564,43765,68,17237817
AASTA HANSTEEN,Statoil Petroleum AS,Approved for production, 6707/10-1,23.07.1997,Norwegian sea,PRODUCTION LICENSE,218,Sandnessjøen,22556,23395946,3075,17237817
