dscName,dscDiscoveryYear,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscRecoverableOe,dscNpdidDiscovery
25/5-9 (Trell),2014,5F,2.13,0.00,0.00,0.00,2.13,24567425
25/8-4 (D-struktur),1992,5F,8.34,0.00,0.00,0.00,8.34,44324
26/10-1 (Zulu Øst),2015,7F,0.00,2.50,0.00,0.00,2.50,26264822
30/11-8 S (Krafla),2011,5F,16.89,17.36,3.46,0.00,40.83,20460100
30/11-8 S (Krafla),2011,7F,0.34,0.37,0.07,0.00,0.85,20460100
30/5-3 S (Corvus),2009,5F,0.44,5.49,0.00,0.00,5.94,5490430
30/9-28 S,2016,5F,0.26,1.20,0.00,0.00,1.46,28123140
31/2-N-11 H,2005,3F,0.55,0.00,0.00,0.00,0.55,3465918
31/7-1 (Brasse),2016,5F,6.68,2.43,0.81,0.00,10.65,28222384
34/11-2 S (Nøkken),1996,5F,1.95,5.23,0.00,0.00,7.18,44648
34/12-1 (Afrodite),2008,5F,1.05,9.22,0.49,0.00,11.20,4972705
34/4-11 (Beta),2010,4F,3.74,0.32,0.23,0.00,4.49,17826500
34/6-2 S (Garantiana),2012,4F,11.10,0.13,0.00,0.00,11.23,22506411
34/8-16 S (Iapetus Øst),2015,7F,0.05,0.67,0.00,0.19,0.90,27116419
35/10-2,1996,7F,0.00,2.80,0.25,0.31,3.58,44738
35/11-17 (F-Vest),2014,5F,0.46,0.00,0.00,0.00,0.46,24624369
35/11-18 (Syrah),2015,7F,0.97,0.28,0.00,0.00,1.25,27122993
35/11-20 B,2016,7F,0.55,0.15,0.00,0.00,0.70,28543133
35/11-20 S,2016,7F,0.78,0.21,0.00,0.00,0.99,28543142
35/12-2 (Grosbeak),2009,7F,4.80,0.70,0.00,0.00,5.50,5818175
35/2-1 (Peon),2005,5F,0.00,19.54,0.00,0.00,19.54,3465397
35/8-6 A,2016,7F,0.54,0.21,0.00,0.00,0.75,28183437
35/9-7 (Skarfjell),2012,4F,11.04,2.76,0.85,0.00,15.42,21667341
36/7-4 (Cara),2016,7F,2.83,3.94,0.48,0.18,7.86,28543124
6406/12-3 S (Pil),2014,5F,2.43,3.48,0.59,0.00,7.03,24617697
6406/12-3 S (Pil),2014,4F,11.78,0.19,0.03,0.00,12.03,24617697
6406/12-4 S (Boomerang),2015,7F,3.20,0.30,0.00,0.00,3.50,27051665
6406/2-1 LAVRANS,1995,5F,2.43,9.33,0.77,0.00,13.22,44834
6406/2-7 (Erlend),1999,5F,0.88,1.02,0.23,0.00,2.34,916112
6406/3-2 (Trestakk),1986,3F,10.65,0.69,0.14,0.00,11.60,44846
6406/9-1 LINNORM,2005,7F,0.00,24.35,0.00,0.58,24.93,3435686
6407/2-5 S (Nona),2009,7F,2.91,1.30,0.00,0.07,4.28,17115700
6407/2-6 S (Flyndretind),2010,7F,0.00,1.90,0.00,0.50,2.40,18104628
6407/6-6 MIKKEL SØR,2008,5F,0.63,2.15,0.55,0.00,3.82,4972665
6407/7-8 (Noatun),2008,5F,0.90,3.81,0.52,0.00,5.70,5071896
6407/7-9 A,2016,7F,0.00,0.19,0.00,0.04,0.23,28576514
6407/7-9 S,2016,7F,0.11,0.24,0.00,0.09,0.44,28576505
