dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
34/4-5,,Production is unlikely,OIL,34/4-5,North sea,,,1984,,,,44660,,37,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44660,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44660
34/5-1 S,Aker BP ASA,Production is unlikely,OIL,34/5-1 S,North sea,,,2010,,PRODUCTION LICENSE,790,18082198,,6307,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18082198,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=18082198
34/6-2 S (Garantiana),Total E&P Norge AS,Production in clarification phase,OIL,34/6-2 S,North sea,,,2012,,PRODUCTION LICENSE,554,22506411,,6971,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=22506411,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=22506411
34/6-3 A (Akkar),Total E&P Norge AS,Production is unlikely,OIL,34/6-3 A,North sea,,,2014,,PRODUCTION LICENSE,554,25307119,,7587,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=25307119,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=25307119
34/7-12 TORDIS,Statoil Petroleum AS,Producing,OIL,34/7-12,North sea,TORDIS,14.05.1991,1987,,PRODUCTION LICENSE,089,44666,43725,1187,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44666,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43725
34/7-8 VIGDIS,Statoil Petroleum AS,Producing,OIL,34/7-8,North sea,VIGDIS,16.12.1994,1986,,PRODUCTION LICENSE,089,44714,43732,878,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44714,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43732
34/7-H-2,Statoil Petroleum AS,Production is unlikely,OIL,34/7-H-2 H,North sea,,,2013,,PRODUCTION LICENSE,089,23395970,,6811,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23395970,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23395970
34/8-1 VISUND,Statoil Petroleum AS,Producing,OIL/GAS,34/8-1,North sea,VISUND,29.03.1996,1986,,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,44720,43745,854,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44720,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43745
34/8-14 S VISUND SØR,Statoil Petroleum AS,Producing,OIL/GAS,34/8-14 S,North sea,VISUND SØR,09.06.2011,2008,,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,5081135,20461008,5943,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5081135,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=20461008
34/8-16 S (Iapetus Øst),Statoil Petroleum AS,Production not evaluated,GAS/CONDENSATE,34/8-16 S,North sea,,,2015,,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,27116419,,7800,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=27116419,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=27116419
