date,mboed,mma
1997-07,0.73,0.72
1997-08,0.57,0.72
1997-09,0.66,0.72
1997-10,0.80,0.72
1997-11,0.91,0.73
1997-12,0.90,0.74
1998-01,0.87,0.74
1998-02,0.86,0.75
1998-03,0.76,0.75
1998-04,0.83,0.76
1998-05,0.64,0.76
1998-06,0.62,0.76
1998-07,0.67,0.76
1998-08,0.54,0.75
1998-09,0.70,0.76
1998-10,0.83,0.76
1998-11,0.90,0.76
1998-12,0.94,0.76
1999-01,0.96,0.77
1999-02,0.93,0.77
1999-03,0.84,0.78
1999-04,0.84,0.78
1999-05,0.83,0.80
1999-06,0.65,0.80
1999-07,0.69,0.80
1999-08,0.69,0.82
1999-09,0.72,0.82
1999-10,0.83,0.82
1999-11,1.01,0.83
1999-12,1.04,0.84
2000-01,1.02,0.84
2000-02,1.01,0.85
2000-03,1.03,0.86
2000-04,0.86,0.86
2000-05,0.69,0.85
2000-06,0.63,0.85
2000-07,0.64,0.85
2000-08,0.57,0.84
2000-09,0.70,0.83
2000-10,0.89,0.84
2000-11,1.13,0.85
2000-12,1.12,0.86
2001-01,1.05,0.86
2001-02,0.85,0.85
2001-03,0.86,0.83
2001-04,0.81,0.83
2001-05,0.79,0.84
2001-06,0.79,0.85
2001-07,0.93,0.87
2001-08,0.88,0.90
2001-09,0.88,0.92
2001-10,0.91,0.92
2001-11,1.18,0.92
2001-12,1.24,0.93
2002-01,1.28,0.95
2002-02,1.20,0.98
2002-03,1.00,0.99
2002-04,1.21,1.02
2002-05,1.11,1.05
2002-06,1.02,1.07
2002-07,1.07,1.08
2002-08,0.84,1.08
2002-09,0.84,1.07
2002-10,1.22,1.10
2002-11,1.35,1.11
2002-12,1.42,1.13
2003-01,1.43,1.14
2003-02,1.41,1.16
2003-03,1.44,1.20
2003-04,1.24,1.20
2003-05,1.08,1.19
2003-06,0.86,1.18
2003-07,1.14,1.19
2003-08,0.96,1.20
2003-09,1.12,1.22
2003-10,1.37,1.23
2003-11,1.50,1.25
2003-12,1.55,1.26
2004-01,1.58,1.27
2004-02,1.57,1.28
